Threshold 10,Threshold 20,Threshold 30,F2 10,F2 20,F2 30,Precision 10,Precision 20,Precision 30,Recall 10,Recall 20,Recall 30,FN 10,FN 20,FN 30,FP 10,FP 20,FP 30,Weighted F2,Mean precision,Mean recall,Total false negatives,Total false positives
0.3,0.29,0.27,0.933179723502304,0.9424242424242424,0.9364754098360656,0.7788461538461539,0.7974358974358975,0.7879310344827586,0.9818181818181818,0.9873015873015873,0.9827956989247312,3,4,8,46,79,123,0.9366122164456379,0.7880710285882699,0.9839718226815002,15,248
0.3,0.3,0.27,0.933179723502304,0.9416767922235723,0.9364754098360656,0.7788461538461539,0.8031088082901554,0.7879310344827586,0.9818181818181818,0.9841269841269841,0.9827956989247312,3,5,8,46,76,123,0.9363879813854369,0.7899619988730228,0.982913621623299,16,245
0.3,0.29,0.26,0.933179723502304,0.9424242424242424,0.9353254195661074,0.7788461538461539,0.7974358974358975,0.7838765008576329,0.9818181818181818,0.9873015873015873,0.9827956989247312,3,4,8,46,79,126,0.9363822183916463,0.7867195173798948,0.9839718226815002,15,251
0.3,0.28,0.27,0.933179723502304,0.9412832929782083,0.9364754098360656,0.7788461538461539,0.7933673469387755,0.7879310344827586,0.9818181818181818,0.9873015873015873,0.9827956989247312,3,4,8,46,81,123,0.9362699316118276,0.7867148450892293,0.9839718226815002,15,250
0.3,0.3,0.26,0.933179723502304,0.9416767922235723,0.9353254195661074,0.7788461538461539,0.8031088082901554,0.7838765008576329,0.9818181818181818,0.9841269841269841,0.9827956989247312,3,5,8,46,76,126,0.9361579833314453,0.7886104876646475,0.982913621623299,16,248
0.3,0.29,0.25,0.933179723502304,0.9424242424242424,0.9341782502044155,0.7788461538461539,0.7974358974358975,0.7798634812286689,0.9818181818181818,0.9873015873015873,0.9827956989247312,3,4,8,46,79,129,0.9361527845193078,0.7853818441702402,0.9839718226815002,15,254
0.3,0.29,0.28,0.933179723502304,0.9424242424242424,0.9339080459770115,0.7788461538461539,0.7974358974358975,0.7899305555555556,0.9818181818181818,0.9873015873015873,0.978494623655914,3,4,10,46,79,121,0.9360987436738271,0.7887375356125356,0.9825381309252278,17,246
0.3,0.28,0.26,0.933179723502304,0.9412832929782083,0.9353254195661074,0.7788461538461539,0.7933673469387755,0.7838765008576329,0.9818181818181818,0.9873015873015873,0.9827956989247312,3,4,8,46,81,126,0.936039933557836,0.7853633338808542,0.9839718226815002,15,253
0.3,0.29,0.29,0.933179723502304,0.9424242424242424,0.9333881578947368,0.7788461538461539,0.7974358974358975,0.7937062937062938,0.9818181818181818,0.9873015873015873,0.9763440860215054,3,4,11,46,79,118,0.9359947660573721,0.7899961149961151,0.9818212850470914,18,243
0.3,0.3,0.25,0.933179723502304,0.9416767922235723,0.9341782502044155,0.7788461538461539,0.8031088082901554,0.7798634812286689,0.9818181818181818,0.9841269841269841,0.9827956989247312,3,5,8,46,76,129,0.9359285494591069,0.7872728144549926,0.982913621623299,16,251
0.3,0.27,0.27,0.933179723502304,0.9401451027811366,0.9364754098360656,0.7788461538461539,0.7893401015228426,0.7879310344827586,0.9818181818181818,0.9873015873015873,0.9827956989247312,3,4,8,46,83,123,0.9359284745527061,0.7853724299505851,0.9839718226815002,15,252
0.28,0.28,0.27,0.9324942791762013,0.9412832929782083,0.9364754098360656,0.7616822429906542,0.7933673469387755,0.7879310344827586,0.9878787878787879,0.9873015873015873,0.9827956989247312,2,4,8,51,81,123,0.9359272094487763,0.7809935414707295,0.9859920247017021,14,255
0.3,0.29,0.24,0.933179723502304,0.9424242424242424,0.9330338913842384,0.7788461538461539,0.7974358974358975,0.7758913412563667,0.9818181818181818,0.9873015873015873,0.9827956989247312,3,4,8,46,79,132,0.9359239127552724,0.7840577975128061,0.9839718226815002,15,257
0.3,0.3,0.28,0.933179723502304,0.9416767922235723,0.9339080459770115,0.7788461538461539,0.8031088082901554,0.7899305555555556,0.9818181818181818,0.9841269841269841,0.978494623655914,3,5,10,46,76,121,0.9358745086136261,0.7906285058972884,0.9814799298670266,18,243
0.3,0.28,0.25,0.933179723502304,0.9412832929782083,0.9341782502044155,0.7788461538461539,0.7933673469387755,0.7798634812286689,0.9818181818181818,0.9873015873015873,0.9827956989247312,3,4,8,46,81,129,0.9358104996854976,0.7840256606711994,0.9839718226815002,15,256
0.3,0.3,0.29,0.933179723502304,0.9416767922235723,0.9333881578947368,0.7788461538461539,0.8031088082901554,0.7937062937062938,0.9818181818181818,0.9841269841269841,0.9763440860215054,3,5,11,46,76,118,0.9357705309971711,0.7918870852808677,0.9807630839888904,19,240
0.3,0.28,0.28,0.933179723502304,0.9412832929782083,0.9339080459770115,0.7788461538461539,0.7933673469387755,0.7899305555555556,0.9818181818181818,0.9873015873015873,0.978494623655914,3,4,10,46,81,121,0.9357564588400168,0.787381352113495,0.9825381309252278,17,248
0.3,0.29,0.21,0.933179723502304,0.9424242424242424,0.9321689683184401,0.7788461538461539,0.7974358974358975,0.7624584717607974,0.9818181818181818,0.9873015873015873,0.9870967741935484,3,4,6,46,79,143,0.9357509281421128,0.7795801743476162,0.9854055144377725,13,268
0.3,0.29,0.19,0.933179723502304,0.9424242424242424,0.9320663162151235,0.7788461538461539,0.7974358974358975,0.7520391517128875,0.9818181818181818,0.9873015873015873,0.9913978494623656,3,4,4,46,79,152,0.9357303977214495,0.7761070676649796,0.9868392061940451,11,277
0.3,0.3,0.24,0.933179723502304,0.9416767922235723,0.9330338913842384,0.7788461538461539,0.8031088082901554,0.7758913412563667,0.9818181818181818,0.9841269841269841,0.9827956989247312,3,5,8,46,76,132,0.9356996776950715,0.7859487677975587,0.982913621623299,16,254
0.3,0.27,0.26,0.933179723502304,0.9401451027811366,0.9353254195661074,0.7788461538461539,0.7893401015228426,0.7838765008576329,0.9818181818181818,0.9873015873015873,0.9827956989247312,3,4,8,46,83,126,0.9356984764987145,0.7840209187422098,0.9839718226815002,15,255
0.28,0.28,0.26,0.9324942791762013,0.9412832929782083,0.9353254195661074,0.7616822429906542,0.7933673469387755,0.7838765008576329,0.9878787878787879,0.9873015873015873,0.9827956989247312,2,4,8,51,81,126,0.9356972113947847,0.7796420302623542,0.9859920247017021,14,258
0.3,0.29,0.18,0.933179723502304,0.9424242424242424,0.9318273497377975,0.7788461538461539,0.7974358974358975,0.7463651050080775,0.9818181818181818,0.9873015873015873,0.9935483870967742,3,4,3,46,79,157,0.9356826044259843,0.7742157187633764,0.9875560520721812,10,282
0.3,0.29,0.17,0.933179723502304,0.9424242424242424,0.9315895372233401,0.7788461538461539,0.7974358974358975,0.7408,0.9818181818181818,0.9873015873015873,0.9956989247311828,3,4,2,46,79,162,0.9356350419230928,0.7723606837606839,0.9882728979503174,9,287
0.27,0.27,0.27,0.9324942791762013,0.9401451027811366,0.9364754098360656,0.7616822429906542,0.7893401015228426,0.7879310344827586,0.9878787878787879,0.9873015873015873,0.9827956989247312,2,4,8,51,83,123,0.9355857523896548,0.7796511263320852,0.9859920247017021,14,257
0.28,0.27,0.27,0.9324942791762013,0.9401451027811366,0.9364754098360656,0.7616822429906542,0.7893401015228426,0.7879310344827586,0.9878787878787879,0.9873015873015873,0.9827956989247312,2,4,8,51,83,123,0.9355857523896548,0.7796511263320852,0.9859920247017021,14,257
0.3,0.26,0.26,0.933179723502304,0.9397590361445785,0.9353254195661074,0.7788461538461539,0.78,0.7838765008576329,0.9818181818181818,0.9904761904761905,0.9827956989247312,3,3,8,46,88,126,0.9355826565077471,0.780907551567929,0.9850300237397013,14,260
0.3,0.28,0.24,0.933179723502304,0.9412832929782083,0.9330338913842384,0.7788461538461539,0.7933673469387755,0.7758913412563667,0.9818181818181818,0.9873015873015873,0.9827956989247312,3,4,8,46,81,132,0.9355816279214622,0.7827016140137654,0.9839718226815002,15,259
0.3,0.29,0.22,0.933179723502304,0.9424242424242424,0.931272875152501,0.7788461538461539,0.7974358974358975,0.7646076794657763,0.9818181818181818,0.9873015873015873,0.9849462365591398,3,4,7,46,79,141,0.935571709508925,0.7802965769159426,0.9846886685596363,14,266
