Model,Region,Samples,MAE,RMSE,Bias
Polynomial Ridge — Raw,Near failure: RUL 0–30,465,7.837243622729091,10.505467715324682,1.6873058584215732
Polynomial Ridge — Raw,Mid life: RUL 31–125,1425,18.248411761534445,21.99828681427375,7.662120292780755
Polynomial Ridge — Raw,Early life: RUL > 125,1172,29.8621520515898,38.04957536140168,-21.737160352077478
