engine_id,Samples,Minimum RUL,Maximum RUL,MAE,RMSE,Bias,Median absolute error,P90 absolute error,Maximum absolute error,Near-failure MAE,Late-prediction rate,NASA score,NASA penalty per row,Conformal coverage,Average interval width
84,267,0.0,266.0,50.435178994638605,56.644616455633425,-50.32911642735538,54.46066774103768,79.1528393567631,86.7549717497736,9.650753931742583,0.0149812734082397,44582.01306828138,166.97383171640968,0.5093632958801498,101.4187020470285
70,137,0.0,136.0,48.69163232014393,50.116218965030264,48.69163232014393,51.27855313512845,61.6929426763041,70.98193937375956,31.11105994610257,1.0,30703.66112975629,224.11431481573933,0.635036496350365,109.37124777646505
45,158,0.0,157.0,42.068277955841694,43.876270940974855,42.068277955841694,44.91875422662535,54.20075604137795,72.24655091150265,21.596012008196507,1.0,18979.27480051064,120.1219924082952,0.9430379746835443,107.9967729723707
77,154,0.0,153.0,35.36718832683638,37.26412034941634,35.36718832683638,37.35993344823183,48.350692761327515,55.56786709150924,17.67215373066135,1.0,8782.87180843416,57.03163511970234,1.0,107.25852252324405
74,166,0.0,165.0,34.303990600743255,36.347381980588295,34.13813397207211,36.19011678042376,46.63818663959683,59.66895792156956,15.601433700641808,0.963855421686747,8361.828735354935,50.372462261174306,0.9879518072289156,106.90696765461976
