Percentile threshold,Alerted validation rows,Healthy false-alarm rate,Near-failure detection rate,Precision,Recall,Detected engines,Missed engines,Miss rate,Mean lead time,Median lead time,Mean late-warning delay,Mean early-warning burden,Mean asymmetric cost,Operationally feasible
0.9999,707,0.0,0.9827956989247312,0.6463932107496464,0.9827956989247312,15,0,0.0,49.333333333333336,42.0,0.13333333333333333,19.466666666666665,20.133333333333333,True
0.9995,833,0.0,0.9935483870967742,0.5546218487394958,0.9935483870967742,15,0,0.0,58.53333333333333,58.0,0.0,28.533333333333335,28.533333333333335,True
0.999,902,0.0,1.0,0.5155210643015521,1.0,15,0,0.0,62.8,60.0,0.0,32.8,32.8,True
0.998,925,0.0,1.0,0.5027027027027027,1.0,15,0,0.0,64.53333333333333,60.0,0.0,34.53333333333333,34.53333333333333,True
0.997,931,0.0,1.0,0.49946294307196565,1.0,15,0,0.0,65.46666666666667,60.0,0.0,35.46666666666667,35.46666666666667,True
0.995,943,0.0022222222222222222,1.0,0.4931071049840933,1.0,15,0,0.0,66.0,60.0,0.0,36.0,36.0,True
