Horizon,Error type,FD001 count,FD003 count,FD001 rate,FD003 rate,FD001 per 1000 rows,FD003 per 1000 rows,Rate difference,Preferred direction
10,False positives,27.0,88.0,0.008817766165904637,0.024269167126309985,8.817766165904636,24.269167126309984,0.015451400960405348,Lower
10,False negatives,14.0,2.0,0.0045721750489875895,0.0005515719801434088,4.57217504898759,0.5515719801434088,-0.0040206030688441806,Lower
20,False positives,44.0,175.0,0.014369693011103853,0.04826254826254826,14.369693011103854,48.262548262548265,0.033892855251444406,Lower
20,False negatives,17.0,0.0,0.005551926845199217,0.0,5.551926845199216,0.0,-0.005551926845199217,Lower
30,False positives,73.0,189.0,0.023840627041149576,0.052123552123552123,23.840627041149578,52.12355212355212,0.028282925082402547,Lower
30,False negatives,19.0,1.0,0.0062050947093403004,0.0002757859900717044,6.2050947093403,0.2757859900717044,-0.005929308719268596,Lower
