Candidate,Prediction ceiling label,Prediction ceiling,Safety offset,MAE,RMSE,R2,NASA Score,Near-failure MAE,Late prediction rate,Mean residual,Maximum overprediction,Operationally admissible
Ridge — Temporal | alpha=1000,300,300.0,0.0,49.04682047949197,64.83449603802333,0.6589528078091078,479336759.45432734,14.8734337974898,0.5463665943600867,-1.8070385207934911,138.0,True
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",300,300.0,0.0,46.6743807343921,62.22662829263666,0.6858372144981673,581236511.9182937,15.950480549509198,0.6052060737527115,3.0308558881354886,143.17363924300338,True
Ridge — Current Cycle | alpha=0.01,300,300.0,0.0,51.93122361646081,67.08434833425811,0.6348724439352823,1489557399.9979281,18.287721247280263,0.5493492407809111,-0.09252126293510753,127.84859653697649,True
Random Forest — Temporal,300,300.0,2.0,42.33007062501043,63.90759174285996,0.6686346420263486,1512178176.30789,4.2413994856319714,0.48400216919739697,-12.499162301573246,194.66221379731377,True
