Training rows,Feature count,Fit time (seconds),Scoring time (seconds),Scoring ms per 1000 rows,Support-vector count,Support-vector fraction
500,16,0.0055747999576851726,0.028679699986241758,7.776491319479869,60,0.12
1000,16,0.009233699995093048,0.033748899993952364,9.151003252156281,82,0.082
1500,16,0.010599900037050247,0.04481959994882345,12.152819942739548,111,0.074
2100,16,0.021919900027569383,0.05652589997043833,15.326979384609093,140,0.06666666666666667
