Dataset,Confidence level,Conformal quantile,Samples,Empirical coverage,Average interval width,Median interval width,Minimum interval width,Maximum interval width,Lower misses,Upper misses,Total misses,Mean prediction,Mean actual RUL
Validation,0.9,43.52612814335697,3062,0.9003919007184846,82.02906981638624,87.05225628671394,43.52612814335697,87.05225628671397,64,241,305,101.97030032111049,105.58556499020249
Internal test,0.9,43.52612814335697,3062,0.8220117570215545,83.03951186460955,87.05225628671394,43.52612814335697,87.05225628671397,320,225,545,114.53955599292543,105.2384062704115
Validation,0.95,55.98152804525159,3062,0.9503592423252776,104.10544706274267,111.96305609050319,55.98152804525159,111.96305609050322,3,149,152,101.97030032111049,105.58556499020249
Internal test,0.95,55.98152804525159,3062,0.9252122795558458,105.61397574761328,111.96305609050319,55.98152804525159,111.96305609050322,73,156,229,114.53955599292543,105.2384062704115
