engine_id,Rows,MAE,RMSE,NASA Score,Near-failure MAE,Mean residual,Late-prediction rate,Maximum overprediction,NASA score share
55,525,85.35525032716875,100.72520835146295,379782708.88708574,15.0,-85.35525032716875,0.0,0.0,0.5101983930369973
89,207,82.87539886206538,94.11158251574761,296010670.6721784,7.736127369157998,82.23045900135473,0.927536231884058,184.89491746025487,0.39765941146006906
7,424,71.08632466647012,91.44611935470292,64253889.38363129,13.572098993907488,-70.9732369515071,0.01650943396226415,6.778017595588295,0.08631838770640884
86,341,69.3534468220765,79.64674703116982,2950115.011496173,15.0,-69.3534468220765,0.0,0.0,0.003963171315909406
45,205,59.31755912148218,67.05062560628458,1059011.5199969108,7.024077817742112,58.509374588405386,0.9121951219512195,108.92630401960494,0.0014226713409186088
59,299,32.150080754967284,43.261962333075616,121725.1488325342,11.808874896641038,-22.298874098480503,0.3177257525083612,40.58030892712783,0.0001635250206849533
75,259,37.32445149562171,45.28742923082365,120306.16210528076,7.148983161469081,32.804485577891185,0.7683397683397684,95.96523271016986,0.000161618760260125
91,156,39.66183243628377,44.8123163080502,44450.80385907738,10.578219256337063,39.39141003106742,0.9423076923076923,81.58645093721393,5.971501115614696e-05
50,161,40.337824108159765,45.11037148208479,29180.106449078587,24.582018579662968,39.325126304913404,0.906832298136646,71.15595126646286,3.920042453379494e-05
68,201,24.083061607047785,27.689032434205608,4853.390592983522,10.316507542011486,20.99451041506816,0.8109452736318408,55.52498899630976,6.520023222166431e-06
35,231,16.165539736582204,18.814300127130505,1620.0139799195597,10.564526265608588,7.394892344876292,0.6320346320346321,44.642161301578625,2.17631953722824e-06
12,170,13.525194061647236,16.57058006493765,1602.8601062769924,9.22419773784824,9.58827260095087,0.7235294117647059,66.1964644144307,2.1532751000751006e-06
31,183,15.984036725053905,21.681939104062153,1361.249432551868,4.715282549587551,-12.276418639219754,0.28415300546448086,28.445275079138725,1.8286964012808005e-06
83,181,12.574501893923157,15.151615737050435,612.9218933669395,10.114017750052135,-0.11405011244953496,0.4530386740331492,35.17022481812056,8.23396531056867e-07
99,145,9.281346221222446,11.71025329858731,300.8885033054355,4.729912903859793,0.2426276751646534,0.4827586206896552,39.46222130147791,4.04212270009854e-07
