Model,Horizon,Samples,Observed positive rate,Mean predicted probability,Brier score,Baseline Brier score,Brier skill score,Log loss
Original calibrated,10,3062,0.05388634879163945,0.06063361454406967,0.008596837540033282,0.050982610205545224,0.8313770616025025,0.028414442208472956
Monotonic calibrated,10,3062,0.05388634879163945,0.06063361454406967,0.008596837540033282,0.050982610205545224,0.8313770616025025,0.028414442208472956
Original calibrated,20,3062,0.10287393860222077,0.1124938885513382,0.01369540594388374,0.09229089135868727,0.8516060930579082,0.04702586963385372
Monotonic calibrated,20,3062,0.10287393860222077,0.11258668958098693,0.013691841900984512,0.09229089135868727,0.8516447105514307,0.04693120331891724
Original calibrated,30,3062,0.1518615284128021,0.1683346111967072,0.023581638274909746,0.1287996046009298,0.8169121842572837,0.07579473200580748
Monotonic calibrated,30,3062,0.1518615284128021,0.1685395180477082,0.023561796695027552,0.1287996046009298,0.8170662342634438,0.07568356463601525
