Horizon,Unique probabilities,Minimum,1% quantile,10% quantile,Median,90% quantile,99% quantile,Maximum,Probability <= 0.001,Probability >= 0.999
10,659,2.850385794279147e-34,4.128113220695888e-30,1.1563035446007874e-26,6.999327881072375e-16,0.00805473273309867,0.9999995206492264,0.9999999999923095,0.8856956237753103,0.04147615937295885
20,2154,1.9483973119624554e-25,5.4164086784839815e-15,1.0057657276152155e-12,8.167101902968874e-07,0.9514479531858614,0.9999998617975583,0.9999999999984401,0.7642064010450685,0.06629653821032006
30,2708,2.0690379179195704e-18,8.65319340393564e-13,2.6190789645137227e-09,0.0001404497064535821,0.9979681420504046,0.9999999964308612,0.999999999999992,0.6025473546701502,0.09405617243631613
