Model,MAE,RMSE,R2,NASA Score,Near-failure MAE,Late prediction rate,Fit time (seconds),Prediction ms per 1000 rows
Polynomial Ridge — Raw,21.112588912220396,28.215479655083147,0.8140132404621573,149925.92727477802,7.837243622729091,0.4588504245591117,0.12566269980743527,3.4565970442756027
Gradient Boosting — Temporal,24.35918843960949,32.19442177855034,0.7578589554627778,244360.6077747821,6.150204120481544,0.47322011757021554,111.41650979989208,6.896897464270377
Ridge — Temporal,24.049160506132484,31.233467933230475,0.7720982982159346,289688.38280301244,11.65943626798928,0.5431090790333115,0.10596650000661612,2.4835402231145185
Random Forest — Temporal,23.81236187086779,32.7154126357638,0.7499585795561342,318314.51058941265,3.8732958741764105,0.4516655780535598,35.03860560012981,97.88069890776758
Ridge — Raw,23.814050832696662,31.460433644890575,0.7687740556784638,420168.5962200094,12.120319777962985,0.5212279555845852,0.01738560013473034,2.6833115006869406
Dummy Mean,55.30940758030415,65.50527061879751,-0.002442897113123621,15487850.703853007,93.81925966774659,0.5339647289353364,0.005618400173261762,0.06440238556310603
