Configuration,Hyperparameters,Feature count,MAE,RMSE,R2,NASA Score,Near-failure MAE
Current-cycle Ridge,alpha=0.01,19,51.61922701706906,66.47925988420886,0.6414295046612899,1622010972.9200993,18.287721247280263
Temporal Ridge,alpha=1000,147,48.72712811804054,64.44764938772909,0.6630105045934523,1357809674.9781766,14.8734337974898
