Configuration,Split,Feature count,MAE,RMSE,R2,NASA score,Near-failure MAE,Late-prediction rate,Negative raw predictions,Fit time seconds,Prediction ms per 1000 rows
Without operating settings,Internal Test,16,24.015944767946092,30.98616577426499,0.772034987907497,136621.87573372992,10.122555606459732,0.6580666231221424,77,0.07456490001641214,2.8080013019454335
With operating settings,Internal Test,18,24.092042898549913,31.029149736874736,0.7714020837853605,136526.9086766392,10.229465037499853,0.6593729588504246,79,0.12954769999487326,3.429229273463847
Without operating settings,Validation,16,21.790379999742584,28.580764602108143,0.8091664019876961,112343.27454668136,9.699532609891973,0.4516655780535598,102,0.07456490001641214,3.2376878025590554
With operating settings,Validation,18,21.846760662926915,28.633316740865464,0.8084639761512626,113766.73026197076,9.613835001413998,0.4503592423252776,107,0.12954769999487326,3.652841283572968
