Neighbors,Threshold,Precision,Recall,F1,ROC-AUC,PR-AUC,True negatives,False positives,False negatives,True positives,Predicted positive rate,Total asymmetric cost,Cost per row,Fit time (seconds)
10,3.4451540553415185,0.3815126050420168,0.9763440860215054,0.5486404833836858,0.9424465952044946,0.6921544141451174,2487,736,11,454,0.32266811279826463,813.0,0.22044468546637744,0.13494299998274073
20,3.679132214115707,0.40425531914893614,0.9806451612903225,0.5725047080979284,0.945523939160403,0.7112876383696196,2551,672,9,456,0.30585683297180044,735.0,0.199295010845987,0.1248520000372082
35,3.737882400414249,0.41357466063348414,0.9827956989247312,0.5821656050955414,0.9471847173707791,0.7164302086867018,2575,648,8,457,0.29962039045553146,704.0,0.19088937093275488,0.14966330002062023
50,3.8913958127703436,0.42003676470588236,0.9827956989247312,0.5885383129426915,0.9478559680255155,0.718207498119903,2592,631,8,457,0.2950108459869848,687.0,0.18627982646420824,0.15687180001987144
