Model,Horizon,Samples,Observed positive rate,Mean predicted probability,Brier score,Baseline Brier score,Brier skill score,Log loss,Calibration method,PR-AUC,ROC-AUC,Precision at 0.5,Recall at 0.5,F1 at 0.5,Fit time (seconds)
Calibrated Logistic,10,3062,0.05388634879163945,0.06063361454406967,0.008596837540033282,0.050982610205545224,0.8313770616025025,0.028414442208472956,isotonic,0.9693729949278823,0.9981161284923799,0.8693181818181818,0.9272727272727272,0.8973607038123167,3.8809709000051953
Calibrated Logistic,10,3062,0.05388634879163945,0.060281521219629916,0.008860940513032649,0.050982610205545224,0.8261968055909998,0.030835391918064007,sigmoid,0.9702198274859695,0.9981631991297162,0.867816091954023,0.9151515151515152,0.8908554572271387,3.7745815999805927
Raw Logistic,10,3062,0.05388634879163945,0.07341948377149092,0.01659775076394983,0.050982610205545224,0.6744428993134498,0.06297095923031087,None,0.9695006903720287,0.9980627817700651,0.7256637168141593,0.9939393939393939,0.8388746803069054,0.0
Calibrated Logistic,20,3062,0.10287393860222077,0.1124938885513382,0.01369540594388374,0.09229089135868727,0.8516060930579082,0.04702586963385372,sigmoid,0.9763612512252607,0.9972518360578062,0.8846153846153846,0.9492063492063492,0.9157733537519143,3.264899800007697
Calibrated Logistic,20,3062,0.10287393860222077,0.11251020813920094,0.013727096598089614,0.09229089135868727,0.8512627151390332,0.045699195660751445,isotonic,0.9760898671291854,0.9971900081474161,0.8939393939393939,0.9365079365079365,0.9147286821705426,3.1197129000211135
Raw Logistic,20,3062,0.10287393860222077,0.13347062240369476,0.023639805699337924,0.09229089135868727,0.7438554839885321,0.0862232114757622,None,0.9753562768773016,0.9971593831076904,0.7703703703703704,0.9904761904761905,0.8666666666666667,0.0
Calibrated Logistic,30,3062,0.1518615284128021,0.1683346111967072,0.023581638274909746,0.1287996046009298,0.8169121842572837,0.07579473200580748,sigmoid,0.9700314089554998,0.9942845549662348,0.8443579766536965,0.9333333333333333,0.8866189989785496,2.501825599989388
Calibrated Logistic,30,3062,0.1518615284128021,0.16879970200272468,0.0239768637145627,0.1287996046009298,0.8138436543431002,0.07970024195537703,isotonic,0.9679339070821436,0.994166552804932,0.8413926499032882,0.9354838709677419,0.8859470468431772,2.578911999997217
Raw Logistic,30,3062,0.1518615284128021,0.19378038552407947,0.03520247237112064,0.1287996046009298,0.726688040074414,0.12892634334238753,None,0.9688045421828281,0.9941247344951369,0.7865748709122203,0.9827956989247312,0.8738049713193117,0.0
