engine_id,Samples,Minimum RUL,Maximum RUL,MAE,RMSE,Bias,Median absolute error,P90 absolute error,Maximum absolute error,Near-failure MAE,Late-prediction rate,NASA score,NASA penalty per row,Conformal coverage,Average interval width
1,192,0.0,191.0,26.628952443681555,29.161408578115736,26.042672264550202,27.93812302443376,39.16304130894067,59.46209247336819,7.673807753269664,0.921875,4946.903580925866,25.76512281732222,0.9947916666666666,105.93247278402521
5,269,0.0,268.0,24.996394730434762,32.66643866962061,-22.84575517073895,15.952720049496634,57.217218584534066,66.98596642163582,5.165597923122968,0.17843866171003717,6034.632836593429,22.433579318191185,0.8921933085501859,105.29852090110182
10,222,0.0,221.0,15.447187799797545,18.881052390700454,14.915624271119203,14.469381410232543,30.854110336051985,47.73382958412569,3.525231143552934,0.8828828828828829,1765.7151169648578,7.9536716980399,1.0,105.84928136950911
11,240,0.0,239.0,11.430911683754806,13.99541975004069,-0.12175584960321165,10.078145470834599,23.1685294373594,35.439045444160726,3.666262595406965,0.48333333333333334,674.9142662564518,2.812142776068549,1.0,105.33521242759149
31,234,0.0,233.0,14.93734474620545,18.60981459346415,8.227554127860653,12.198136775436929,29.085523864898786,52.442356750402084,6.514271862340205,0.6196581196581197,1953.4154683920124,8.347929352102616,1.0,105.85636362245813
34,195,0.0,194.0,4.94645482984848,6.341310548188713,2.701459747223108,3.822541186712087,10.815705428566782,17.755248680466806,4.210384810282268,0.6615384615384615,145.9691792969039,0.7485598938302763,1.0,104.15594592750146
40,188,0.0,187.0,5.430314805856853,6.500769846218252,-3.337323373442378,5.218396081532708,10.512592847057917,15.583321548755066,5.54041517067088,0.26063829787234044,117.39030760185759,0.6244165297971148,1.0,103.15968955009912
43,207,0.0,206.0,22.361786812724556,25.75659793711997,21.268274878903995,20.960030165759065,40.34934921133228,53.293696475218596,8.518873836075613,0.8985507246376812,4125.660118065643,19.93072520804658,1.0,105.87302240701564
45,158,0.0,157.0,42.068277955841694,43.876270940974855,42.068277955841694,44.91875422662535,54.20075604137795,72.24655091150265,21.596012008196507,1.0,18979.27480051064,120.1219924082952,0.9430379746835443,107.9967729723707
70,137,0.0,136.0,48.69163232014393,50.116218965030264,48.69163232014393,51.27855313512845,61.6929426763041,70.98193937375956,31.11105994610257,1.0,30703.66112975629,224.11431481573933,0.635036496350365,109.37124777646505
74,166,0.0,165.0,34.303990600743255,36.347381980588295,34.13813397207211,36.19011678042376,46.63818663959683,59.66895792156956,15.601433700641808,0.963855421686747,8361.828735354935,50.372462261174306,0.9879518072289156,106.90696765461976
77,154,0.0,153.0,35.36718832683638,37.26412034941634,35.36718832683638,37.35993344823183,48.350692761327515,55.56786709150924,17.67215373066135,1.0,8782.87180843416,57.03163511970234,1.0,107.25852252324405
78,231,0.0,230.0,14.730779268258896,18.632084416962766,12.130849651006082,11.606252365620435,33.3586408200686,52.352662392558145,5.90151067268822,0.7662337662337663,2053.2522844359173,8.888538027861115,1.0,106.08823485818536
84,267,0.0,266.0,50.435178994638605,56.644616455633425,-50.32911642735538,54.46066774103768,79.1528393567631,86.7549717497736,9.650753931742583,0.0149812734082397,44582.01306828138,166.97383171640968,0.5093632958801498,101.4187020470285
97,202,0.0,201.0,21.401542586074342,24.290180773577656,20.144146160973843,21.14443978452624,36.10692582593343,57.060849134131786,7.094206477743235,0.905940594059406,3299.4059757688606,16.333692949350795,0.995049504950495,105.00854573748697
