Model,Horizon,Samples,Observed positive rate,Mean predicted probability,Brier score,Baseline Brier score,Brier skill score,Log loss
Logistic Regression,10,3062,0.05388634879163945,0.07341948377149092,0.01659775076394983,0.050982610205545224,0.6744428993134498,0.06297095923031087
Logistic Regression,20,3062,0.10287393860222077,0.13347062240369476,0.023639805699337924,0.09229089135868727,0.7438554839885321,0.0862232114757622
Logistic Regression,30,3062,0.1518615284128021,0.19378038552407947,0.03520247237112064,0.1287996046009298,0.726688040074414,0.12892634334238753
