Horizon,Model,Samples,Observed positive rate,Mean predicted probability,Brier score,Baseline Brier score,Brier skill score,Log loss,Calibration method,PR-AUC,ROC-AUC,Precision at 0.5,Recall at 0.5,F1 at 0.5,Fit time (seconds)
10,Calibrated Logistic,3062,0.05388634879163945,0.06063361454406967,0.008596837540033282,0.050982610205545224,0.8313770616025025,0.028414442208472956,isotonic,0.9693729949278823,0.9981161284923799,0.8693181818181818,0.9272727272727272,0.8973607038123167,2.6790519000496715
20,Calibrated Logistic,3062,0.10287393860222077,0.1124938885513382,0.01369540594388374,0.09229089135868727,0.8516060930579082,0.04702586963385372,sigmoid,0.9763612512252607,0.9972518360578062,0.8846153846153846,0.9492063492063492,0.9157733537519143,2.310995399951935
30,Calibrated Logistic,3062,0.1518615284128021,0.1683346111967072,0.023581638274909746,0.1287996046009298,0.8169121842572837,0.07579473200580748,sigmoid,0.9700314089554998,0.9942845549662348,0.8443579766536965,0.9333333333333333,0.8866189989785496,3.32121319998987
