Horizon,Model,Threshold,Samples,Positive rate,Predicted positive rate,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,True negatives,False positives,False negatives,True positives,Fit time (seconds),Prediction ms per 1000 rows
10,Logistic Regression,0.5,3062,0.05388634879163945,0.07380796864794252,0.9794252122795558,0.7256637168141593,0.9939393939393939,0.8388746803069054,0.9980627817700651,0.9695006903720287,2835,62,1,164,0.4757212999975309,2.504898746790526
20,Logistic Regression,0.5,3062,0.10287393860222077,0.13226649248856956,0.968647942521228,0.7703703703703704,0.9904761904761905,0.8666666666666667,0.9971593831076904,0.9753562768773016,2654,93,3,312,0.42216269997879863,2.1779882317989245
30,Logistic Regression,0.5,3062,0.1518615284128021,0.189745264532985,0.9568909209666885,0.7865748709122203,0.9827956989247312,0.8738049713193117,0.9941247344951369,0.9688045421828281,2473,124,8,457,0.3383579999790527,2.372926182449983
