Subsystem,Subgroup,Metric,FD001,FD003,FD003 - FD001,Relative change (%),Preferred direction
Maintenance policy,Internal test,Exact action accuracy,0.9549314173742652,0.8698290126861555,-0.0851024046881097,-8.911886564808205,Higher
Maintenance policy,Internal test,Over-alert rate,0.03200522534291313,0.12879205736348592,0.0967868320205728,302.40946902754484,Lower
Maintenance policy,Internal test,Under-alert rate,0.013063357282821686,0.0013789299503585218,-0.011684427332463164,-89.44429123000552,Lower
Maintenance policy,Internal test,STOP recall,0.8727272727272727,0.9818181818181818,0.10909090909090913,12.500000000000005,Higher
Maintenance policy,Internal test,INSPECT-or-higher recall,0.9591397849462365,0.9956989247311828,0.03655913978494629,3.8116591928251182,Higher
Maintenance policy,Internal test,CONTINUE action rate,0.8278902677988244,0.7650303364589078,-0.06285993133991652,-7.592785394983211,Descriptive
Maintenance policy,Internal test,INSPECT action rate,0.11952971913781842,0.16878102592388305,0.04925130678606464,41.204235349434406,Descriptive
Maintenance policy,Internal test,STOP action rate,0.05258001306335728,0.06618863761720904,0.013608624553851763,25.881744337822422,Descriptive
