Horizon,Alert rule,Predicted positive rate,Precision,Recall,F1,False positives,False negatives,Total asymmetric cost
10,Direct threshold,0.06922228350799779,0.649402390438247,0.9878787878787879,0.7836538461538461,88,2,118.0
10,Persistent 2-of-3,0.06618863761720904,0.675,0.9818181818181818,0.8,78,3,123.0
20,Direct threshold,0.13513513513513514,0.6428571428571429,1.0,0.782608695652174,175,0,175.0
20,Persistent 2-of-3,0.13127413127413126,0.6617647058823529,1.0,0.7964601769911505,161,0,161.0
30,Direct threshold,0.18008825151682295,0.7105666156202144,0.9978494623655914,0.8300536672629696,189,1,196.0
30,Persistent 2-of-3,0.17512410369553227,0.7291338582677165,0.9956989247311828,0.8418181818181818,172,2,186.0
