Horizon,Base model,Calibration method,Threshold,Samples,Positive rate,Predicted positive rate,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,Brier score,Log loss,True negatives,False positives,False negatives,True positives
10,Weighted Logistic,Sigmoid,0.5,3688,0.04473969631236443,0.04148590021691974,0.9934924078091106,0.9607843137254902,0.8909090909090909,0.9245283018867925,0.9991966213368427,0.9829931509852912,0.004850882372990429,0.01672986116962249,3517,6,18,147
10,Weighted Logistic,Isotonic,0.5,3688,0.04473969631236443,0.04067245119305857,0.9932212581344902,0.9666666666666667,0.8787878787878788,0.9206349206349206,0.9992172648999217,0.9802737336342278,0.005051550375411216,0.01694191227535743,3518,5,20,145
10,Weighted Logistic,Raw,0.5,3688,0.04473969631236443,0.05070498915401302,0.9907809110629068,0.8502673796791443,0.9636363636363636,0.9034090909090909,0.9991966213368427,0.9829931509852912,0.0065975996383188275,0.023519930387586985,3495,28,6,159
20,Weighted Logistic,Isotonic,0.5,3688,0.08541214750542299,0.0797180043383948,0.9872559652928417,0.95578231292517,0.8920634920634921,0.922824302134647,0.9983265803603781,0.981398655289023,0.009200279589003798,0.029581389756855734,3360,13,34,281
20,Weighted Logistic,Sigmoid,0.5,3688,0.08541214750542299,0.08297180043383948,0.9872559652928417,0.9379084967320261,0.9111111111111111,0.9243156199677939,0.9983331686266759,0.9838782480528738,0.009251958561224708,0.03023930195517231,3354,19,28,287
20,Weighted Logistic,Raw,0.5,3688,0.08541214750542299,0.09869848156182212,0.9807483731019523,0.8351648351648352,0.9650793650793651,0.8954344624447718,0.9983331686266759,0.9838782480528738,0.013516032371844065,0.043345260537734236,3313,60,11,304
30,Weighted Logistic,Isotonic,0.5,3688,0.12608459869848157,0.11686550976138829,0.9755965292841648,0.9350348027842227,0.8666666666666667,0.8995535714285714,0.9959791685432994,0.9693816909913923,0.016352343542125513,0.06469906040535797,3195,28,62,403
30,Weighted Logistic,Sigmoid,0.5,3688,0.12608459869848157,0.12445770065075921,0.9761388286334056,0.9106753812636166,0.8989247311827957,0.9047619047619048,0.9962006946043058,0.9761154509174366,0.01651112043143423,0.052540017984934635,3182,41,47,418
30,Weighted Logistic,Raw,0.5,3688,0.12608459869848157,0.14181127982646421,0.9734273318872018,0.8508604206500956,0.956989247311828,0.9008097165991903,0.9962006946043057,0.9761154509174366,0.02080538274398285,0.0741767693992905,3145,78,20,445
