Candidate,Safety offset,MAE,RMSE,R2,NASA Score,Near-failure MAE,Late prediction rate,Maximum overprediction,Mean residual
Ridge — Temporal | alpha=1000,14.0,48.07471802435221,65.76761313656489,0.6490652613346755,744382409.0201428,10.807656321592367,0.43627982646420826,184.89491746025487,-13.532016633307045
"Polynomial Ridge — Current Cycle | degree=2, alpha=0.01",10.0,44.60822985033611,61.27446401004848,0.6953780165316688,986418168.962845,13.775652855855354,0.5260303687635575,194.07518934675454,-5.724604154004021
Ridge — Current Cycle | alpha=0.01,0.0,51.61922701706906,66.47925988420886,0.6414295046612899,1622010972.9200993,18.287721247280263,0.5498915401301518,187.63644070954047,0.5484592222927613
Random Forest — Temporal,16.0,45.25982584557591,67.4938688931596,0.6304009496536793,2263188921.562641,10.564926869737707,0.306941431670282,189.44946190476202,-24.764310496668838
