RUL band,Samples,MAE,RMSE,Bias,Median absolute error,P90 absolute error,Maximum absolute error,Late-prediction rate,NASA score,NASA penalty per row,Conformal coverage,Average interval width
0-10,165,7.4769882273993975,10.58528914553815,2.7978197554036335,5.0,16.843634174713987,35.72380909055305,0.4303030303030303,354.74297003867116,2.1499573941737644,1.0,63.779347800655216
11-20,150,10.1038420243396,13.187754009101027,2.9546884482526576,7.1653544595570295,22.986214483407142,38.08680389460597,0.44666666666666666,474.61550822979586,3.164103388198639,1.0,74.42884798784189
21-30,150,13.382812541770603,17.895151750473545,8.93719904810263,8.446920492218046,32.0822464242118,41.063329410500884,0.6666666666666666,1059.7051987491022,7.064701324994015,1.0,89.71470053514321
31-60,450,22.656343619779236,27.37897574654555,19.032949404530008,20.788376807385276,44.08996051120265,57.44021094440032,0.82,12714.556450844424,28.254569890765385,0.9844444444444445,106.237026286129
61-125,975,29.103096459420975,33.6376760009621,22.406075086827798,29.975026696473606,51.261149165944595,72.24655091150265,0.8153846153846154,56545.74181926656,57.995632635145185,0.9476923076923077,111.55897234914251
>125,1172,25.97462494546613,34.74649630137883,-5.484475077571138,17.82627805820826,65.00088931067471,86.7549717497736,0.5264505119453925,65377.54672951066,55.782889700947656,0.8592150170648464,111.96305609050319
