Model,MAE,RMSE,R2,NASA Score,Near-failure MAE,Late prediction rate
Ridge — Temporal Features,24.049160506132484,31.233467933230475,0.7720982982159346,289688.38280301244,11.65943626798928,0.5431090790333115
Ridge — Raw Features,23.814050832696662,31.460433644890575,0.7687740556784638,420168.5962200094,12.120319777962985,0.5212279555845852
Dummy Mean,55.30940758030415,65.50527061879751,-0.002442897113123621,15487850.703853007,93.81925966774659,0.5339647289353364
