Model,Horizon,Threshold,Samples,Positive rate,Predicted positive rate,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,True negatives,False positives,False negatives,True positives
Calibrated Monotonic Logistic,10,0.3,3062,0.05388634879163945,0.06792945787067277,0.9839973873285435,0.7788461538461539,0.9818181818181818,0.868632707774799,0.9981161284923799,0.9693729949278823,2851,46,3,162
Calibrated Monotonic Logistic,20,0.29,3062,0.10287393860222077,0.12736773350751143,0.972893533638145,0.7974358974358975,0.9873015873015873,0.8822695035460993,0.9972553030434356,0.9764091058349069,2668,79,4,311
Calibrated Monotonic Logistic,30,0.27,3062,0.1518615284128021,0.18941868060091444,0.957217504898759,0.7879310344827586,0.9827956989247312,0.8746411483253589,0.9943143660385638,0.9702651070215201,2474,123,8,457
