Metric,Estimate,CI lower,CI upper,Confidence level,Method
ROC-AUC,0.9889210462030217,0.982083342529473,0.9962844887194025,0.95,Engine bootstrap
PR-AUC,0.9435063623947987,0.9165549958054942,0.9821418842602743,0.95,Engine bootstrap
Healthy false-alarm rate,0.0,0.0,0.0,0.95,Engine bootstrap
Near-failure detection rate,0.9139784946236559,0.864516129032258,0.9591397849462365,0.95,Engine bootstrap
Precision,0.800376647834275,0.6744539230602044,0.9365115276879983,0.95,Engine bootstrap
Recall,0.9139784946236559,0.864516129032258,0.9591397849462365,0.95,Engine bootstrap
Spearman raw score vs degradation,0.6101354871466305,0.5404447231552645,0.7000955327968005,0.95,Engine bootstrap
