Horizon,Base model,Calibration method,Threshold,Samples,Positive rate,Predicted positive rate,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,Brier score,Log loss,True negatives,False positives,False negatives,True positives
10,Weighted Logistic,Sigmoid,0.5,3688,0.04473969631236443,0.04148590021691974,0.9934924078091106,0.9607843137254902,0.8909090909090909,0.9245283018867925,0.9991966213368427,0.9829931509852912,0.004850882372990429,0.01672986116962249,3517,6,18,147
20,Weighted Logistic,Isotonic,0.5,3688,0.08541214750542299,0.0797180043383948,0.9872559652928417,0.95578231292517,0.8920634920634921,0.922824302134647,0.9983265803603781,0.981398655289023,0.009200279589003798,0.029581389756855734,3360,13,34,281
30,Weighted Logistic,Isotonic,0.5,3688,0.12608459869848157,0.11686550976138829,0.9755965292841648,0.9350348027842227,0.8666666666666667,0.8995535714285714,0.9959791685432994,0.9693816909913923,0.016352343542125513,0.06469906040535797,3195,28,62,403
