Metric,Estimate,CI lower,CI upper,Confidence level,Method
Empirical coverage,0.9271717831482692,0.835343702398949,0.991906312897786,0.95,Engine percentile bootstrap
Average interval width,105.46782699960733,104.51403247754948,106.33960585923172,0.95,Engine percentile bootstrap
Median interval width,111.9630560905032,111.9630560905032,111.9630560905032,0.95,Engine percentile bootstrap
