Model,Fit time (seconds),Scoring time (seconds),Scoring ms per 1000 rows,Healthy reference rows,Validation rows
Isolation Forest,0.9131108000292443,0.2035223999992013,55.185032537744384,2100,3688
LOF,0.39959370001452044,0.16196699999272823,43.917299347269044,2100,3688
One-Class SVM,0.032209399971179664,0.1016239000018686,27.55528741916177,2100,3688
PCA Reconstruction,0.027484800026286393,0.005078800022602081,1.377114973590586,2100,3688
